id,temperature,timestamp
0,19,2026-06-07 03:11:06.620582
1,41,2026-06-07 03:12:06.620582
2,27,2026-06-07 03:13:06.620582
3,23,2026-06-07 03:14:06.620582
4,1,2026-06-07 03:15:06.620582
5,2,2026-06-07 03:16:06.620582
6,32,2026-06-07 03:17:06.620582
7,43,2026-06-07 03:18:06.620582
8,25,2026-06-07 03:19:06.620582
9,36,2026-06-07 03:20:06.620582
10,33,2026-06-07 03:21:06.620582
11,49,2026-06-07 03:22:06.620582
12,26,2026-06-07 03:23:06.620582
13,4,2026-06-07 03:24:06.620582
14,43,2026-06-07 03:25:06.620582
15,24,2026-06-07 03:26:06.620582
16,31,2026-06-07 03:27:06.620582
17,38,2026-06-07 03:28:06.620582
18,1,2026-06-07 03:29:06.620582
19,4,2026-06-07 03:30:06.620582
20,-6,2026-06-07 03:31:06.620582
21,0,2026-06-07 03:32:06.620582
22,49,2026-06-07 03:33:06.620582
23,44,2026-06-07 03:34:06.620582
24,21,2026-06-07 03:35:06.620582
25,39,2026-06-07 03:36:06.620582
26,9,2026-06-07 03:37:06.620582
27,35,2026-06-07 03:38:06.620582
28,32,2026-06-07 03:39:06.620582
29,31,2026-06-07 03:40:06.620582
