device_id,temperature,humidity,timestamp
DEV036,27.79,54.58,2026-06-06T22:33:28.573949
DEV001,36.29,62.74,2026-06-06T22:33:29.573990
DEV031,24.71,56.73,2026-06-06T22:33:30.573997
DEV006,38.57,55.32,2026-06-06T22:33:31.574003
DEV009,36.38,35.5,2026-06-06T22:33:32.574009
DEV031,37.51,74.15,2026-06-06T22:33:33.574015
DEV016,34.41,60.5,2026-06-06T22:33:34.574021
DEV018,35.35,53.95,2026-06-06T22:33:35.574028
DEV015,21.9,85.51,2026-06-06T22:33:36.574041
DEV049,26.04,35.27,2026-06-06T22:33:37.574047
DEV007,30.63,73.22,2026-06-06T22:33:38.574053
DEV011,23.25,41.48,2026-06-06T22:33:39.574058
DEV040,17.59,48.31,2026-06-06T22:33:40.574064
DEV011,23.71,60.75,2026-06-06T22:33:41.574069
DEV038,24.83,74.95,2026-06-06T22:33:42.574075
DEV023,32.96,33.05,2026-06-06T22:33:43.574080
DEV030,39.85,83.21,2026-06-06T22:33:44.574086
DEV035,18.88,41.32,2026-06-06T22:33:45.574092
DEV008,26.41,77.83,2026-06-06T22:33:46.574098
DEV006,30.77,55.6,2026-06-06T22:33:47.574103
DEV029,15.12,32.47,2026-06-06T22:33:48.574109
DEV028,21.51,49.16,2026-06-06T22:33:49.574126
DEV004,33.73,68.6,2026-06-06T22:33:50.574132
DEV020,30.94,81.93,2026-06-06T22:33:51.574138
DEV037,15.71,77.39,2026-06-06T22:33:52.574144
DEV045,16.92,79.65,2026-06-06T22:33:53.574150
DEV028,24.61,67.31,2026-06-06T22:33:54.574156
DEV030,29.16,52.91,2026-06-06T22:33:55.574161
DEV031,23.19,49.09,2026-06-06T22:33:56.574167
DEV032,16.59,60.24,2026-06-06T22:33:57.574173
DEV018,34.39,60.26,2026-06-06T22:33:58.574178
DEV038,19.28,81.42,2026-06-06T22:33:59.574184
DEV013,29.4,58.91,2026-06-06T22:34:00.574190
DEV027,39.05,34.93,2026-06-06T22:34:01.574203
DEV032,29.66,85.98,2026-06-06T22:34:02.574208
DEV025,35.49,65.92,2026-06-06T22:34:03.574214
DEV029,36.54,38.66,2026-06-06T22:34:04.574220
DEV023,39.38,62.02,2026-06-06T22:34:05.574226
DEV024,39.05,70.32,2026-06-06T22:34:06.574232
DEV004,25.21,60.16,2026-06-06T22:34:07.574238
DEV010,28.89,74.9,2026-06-06T22:34:08.574244
DEV039,19.81,88.68,2026-06-06T22:34:09.574250
DEV008,33.2,64.33,2026-06-06T22:34:10.574257
DEV042,29.67,64.82,2026-06-06T22:34:11.574263
DEV035,18.68,51.31,2026-06-06T22:34:12.574275
DEV003,32.63,83.42,2026-06-06T22:34:13.574281
DEV023,39.44,80.72,2026-06-06T22:34:14.574286
DEV001,24.38,70.45,2026-06-06T22:34:15.574292
DEV025,17.7,52.01,2026-06-06T22:34:16.574298
DEV027,17.78,76.74,2026-06-06T22:34:17.574304
